swear_IT,swear_EN,year,n_sentences,n_tokens,tokens_per_sent,char_per_tok,lexical_density,avg_token_per_clause,bpm,centroid,rolloff,flux,rms,zcr,flatness,spectral_complexity,pitch,loudness,duration_ms,explicit,marco-zones
0,1,2019.0,79.0,844.0,10.683544303797468,4.092233009708738,0.5841423948220065,7.469026548672566,122.95,0.1465,1547.3255,1.2755,0.2549,0.0602,0.8638,33.0955,1612.9717,28.0271,251511.0,1,Lazio
0,1,2019.0,48.0,414.0,8.625,3.932098765432099,0.4660493827160494,7.666666666666667,109.68,0.1383,1385.4752,1.0945,0.2206,0.0583,0.8537,24.0805,1911.354,24.8158,164825.0,0,Lazio
12,0,2018.0,73.0,719.0,9.849315068493151,3.8164335664335662,0.506993006993007,7.901098901098901,135.96,0.1488,2025.0232,1.2024,0.142,0.0752,0.832,27.604,2049.5932,13.8077,169588.0,1,Lazio
5,3,2018.0,47.0,503.0,10.702127659574469,3.708229426433915,0.5785536159600998,7.621212121212121,119.11,0.1804,2123.9202,1.3234,0.2944,0.0769,0.8234,36.9654,2418.0541,34.8938,123039.0,1,Lazio
0,4,2019.0,35.0,255.0,7.285714285714286,3.5641025641025643,0.4666666666666667,6.538461538461538,128.2,0.1503,1329.6976,1.234,0.2481,0.0591,0.8711,26.1307,2200.7944,27.7659,128774.0,1,Lazio
6,4,2019.0,57.0,567.0,9.947368421052632,3.798206278026906,0.4641255605381166,8.338235294117647,153.68,0.1674,2066.1608,1.3418,0.2651,0.0761,0.7852,29.5593,1913.6864,29.6685,177223.0,1,Lazio
0,5,2019.0,51.0,476.0,9.333333333333334,3.642857142857143,0.5164835164835165,8.206896551724139,106.63,0.1799,2090.6557,1.4023,0.2275,0.0804,0.7955,22.766,1907.509,24.5889,149305.0,1,Lazio
0,12,2017.0,38.0,323.0,8.5,3.619565217391304,0.5181159420289855,7.340909090909091,117.6,0.1975,2763.6808,1.4274,0.2361,0.0959,0.8006,32.3727,2056.3347,25.597,150753.0,1,Lazio
0,8,2022.0,73.0,640.0,8.767123287671232,3.734225621414914,0.5372848948374761,7.111111111111111,149.97,0.1643,1562.7417,1.2067,0.2484,0.0689,0.9022,25.0635,2054.9021,27.6189,237701.0,1,Lazio
0,0,2022.0,29.0,262.0,9.03448275862069,3.6769911504424777,0.4336283185840708,6.390243902439025,111.69,0.1287,1170.4343,1.1107,0.1454,0.0526,0.9268,15.3964,1747.398,13.198,125089.0,0,Lazio
